id_list,git_state
0,DBDLFLFLBULUURUFRRBBDFDR
0,DFDLBLBLFULUURUBRRFFDBDR
0,UBULFLFLBDLDDRDFRRBBUFUR
0,UFULBLBLFDLDDRDBRRFFUBUR
0,BDBLULULDFLFFRFURRDDBUBR
0,FDFLULULDBLBBRBURRDDFUFR
0,BUBLDLDLUFLFFRFDRRUUBDBR
0,FUFLDLDLUBLBBRBDRRUUFDFR
0,DBDRFRFRBURUULUFLLBBDFDL
0,DFDRBRBRFURUULUBLLFFDBDL
0,UBURFRFRBDRDDLDFLLBBUFUL
0,UFURBRBRFDRDDLDBLLFFUBUL
0,BDBRURURDFRFFLFULLDDBUBL
0,FDFRURURDBRBBLBULLDDFUFL
0,BUBRDRDRUFRFFLFDLLUUBDBL
0,FUFRDRDRUBRBBLBDLLUUFDFL
0,RBRUFUFUBLULLDLFDDBBRFRD
0,RFRUBUBUFLULLDLBDDFFRBRD
0,RBRDFDFDBLDLLULFUUBBRFRU
0,RFRDBDBDFLDLLULBUUFFRBRU
0,RDRFUFUFDLFLLBLUBBDDRURB
0,RDRBUBUBDLBLLFLUFFDDRURF
0,RURFDFDFULFLLBLDBBUURDRB
0,RURBDBDBULBLLFLDFFUURDRF
0,LBLUFUFUBRURRDRFDDBBLFLD
0,LFLUBUBUFRURRDRBDDFFLBLD
0,LBLDFDFDBRDRRURFUUBBLFLU
0,LFLDBDBDFRDRRURBUUFFLBLU
0,LDLFUFUFDRFRRBRUBBDDLULB
0,LDLBUBUBDRBRRFRUFFDDLULF
0,LULFDFDFURFRRBRDBBUULDLB
0,LULBDBDBURBRRFRDFFUULDLF
0,BRBULULURFUFFDFLDDRRBLBD
0,FRFULULURBUBBDBLDDRRFLFD
0,BRBDLDLDRFDFFUFLUURRBLBU
0,FRFDLDLDRBDBBUBLUURRFLFU
0,DRDFLFLFRUFUUBULBBRRDLDB
0,DRDBLBLBRUBUUFULFFRRDLDF
0,URUFLFLFRDFDDBDLBBRRULUB
0,URUBLBLBRDBDDFDLFFRRULUF
0,BLBURURULFUFFDFRDDLLBRBD
0,FLFURURULBUBBDBRDDLLFRFD
0,BLBDRDRDLFDFFUFRUULLBRBU
0,FLFDRDRDLBDBBUBRUULLFRFU
0,DLDFRFRFLUFUUBURBBLLDRDB
0,DLDBRBRBLUBUUFURFFLLDRDF
0,ULUFRFRFLDFDDBDRBBLLURUB
0,ULUBRBRBLDBDDFDRFFLLURUF
1,DBFURDURUBRLFBLFLLFDRBUD
1,DFBURDURUFRLBFLBLLBDRFUD
1,UBFDRUDRDBRLFBLFLLFURBDU
1,UFBDRUDRDFRLBFLBLLBURFDU
1,BDUFRBFRFDRLUDLULLUBRDFB
1,FDUBRFBRBDRLUDLULLUFRDBF
1,BUDFRBFRFURLDULDLLDBRUFB
1,FUDBRFBRBURLDULDLLDFRUBF
1,DBFULDULUBLRFBRFRRFDLBUD
1,DFBULDULUFLRBFRBRRBDLFUD
1,UBFDLUDLDBLRFBRFRRFULBDU
1,UFBDLUDLDFLRBFRBRRBULFDU
1,BDUFLBFLFDLRUDRURRUBLDFB
1,FDUBLFBLBDLRUDRURRUFLDBF
1,BUDFLBFLFULRDURDRRDBLUFB
1,FUDBLFBLBULRDURDRRDFLUBF
1,RBFLDRLDLBDUFBUFUUFRDBLR
1,RFBLDRLDLFDUBFUBUUBRDFLR
1,RBFLURLULBUDFBDFDDFRUBLR
1,RFBLURLULFUDBFDBDDBRUFLR
1,RDULBRLBLDBFUDFUFFURBDLR
1,RDULFRLFLDFBUDBUBBURFDLR
1,RUDLBRLBLUBFDUFDFFDRBULR
1,RUDLFRLFLUFBDUBDBBDRFULR
1,LBFRDLRDRBDUFBUFUUFLDBRL
1,LFBRDLRDRFDUBFUBUUBLDFRL
1,LBFRULRURBUDFBDFDDFLUBRL
1,LFBRULRURFUDBFDBDDBLUFRL
1,LDURBLRBRDBFUDFUFFULBDRL
1,LDURFLRFRDFBUDBUBBULFDRL
1,LUDRBLRBRUBFDUFDFFDLBURL
1,LUDRFLRFRUFBDUBDBBDLFURL
1,BRLFDBFDFRDULRULUULBDRFB
1,FRLBDFBDBRDULRULUULFDRBF
1,BRLFUBFUFRUDLRDLDDLBURFB
1,FRLBUFBUBRUDLRDLDDLFURBF
1,DRLUBDUBURBFLRFLFFLDBRUD
1,DRLUFDUFURFBLRBLBBLDFRUD
1,URLDBUDBDRBFLRFLFFLUBRDU
1,URLDFUDFDRFBLRBLBBLUFRDU
1,BLRFDBFDFLDURLURUURBDLFB
1,FLRBDFBDBLDURLURUURFDLBF
